gene,protein,cluster,n_cells,rho_obs,rho_null_mean,z_score,p_value,fdr_padj
CD3E,CD4,0,3446,0.6341246371386945,-0.0003805176238038613,35.56859091927208,4.287473212013526e-277,9.29095445043331e-274
CD3D,CD4,0,3446,0.6378701270297231,-0.00014766886149719208,35.548283179272794,8.831980379676646e-277,9.569450741379647e-274
CD3G,CD4,1,2427,0.7371659451181037,0.0003570159825114313,35.50175103246427,4.618903136716544e-276,3.33638769908825e-273
CD3G,CD4,0,3446,0.6276680264307049,0.00014287322682569038,35.34017296420064,1.4193613450338316e-273,7.689390086720783e-271
CD3E,CD4,1,2427,0.7316874535206276,0.00031957824637526,35.33289507533657,1.835997648857829e-273,7.95721381014983e-271
CD3D,CD4,1,2427,0.7327606594475218,9.792095217280799e-05,34.627425168222565,9.770063401693287e-263,3.528621231911559e-260
CST3,CD14,0,3446,0.5599367629097765,-0.00018338893034710379,33.05167925018894,1.4715401171562507e-239,4.5554677626822787e-237
CD14,CD14,0,3446,0.5601381951629102,-0.0007392871133808578,32.98189362285273,1.4768794670094382e-238,4.000497256261816e-236
LYZ,CD14,0,3446,0.5556013511392187,-0.00025193061815575904,32.73384472309103,5.15552870683272e-235,1.2413367453007228e-232
CD8B,CD8a,0,3446,0.5479537913118597,0.0008121699443129926,31.784316004309552,1.0662863215525892e-221,2.310642458804461e-219
CD8A,CD8a,0,3446,0.540229252343129,0.0006563830138683416,31.472475037779382,2.068266736404372e-217,4.0744854707166124e-215
GZMA,CD8a,0,3446,0.538324541180845,0.0004224863629970089,31.359381798635674,7.247434605273973e-216,1.3087658991357249e-213
CD3D,CD3,0,3446,0.4911442355453782,0.0006942927929395184,28.728236734689517,1.6942311254733325e-181,2.824152960692855e-179
CD3E,CD16,0,3446,-0.473350340447547,0.000322803478699642,-28.532234167159984,4.6668667667376214e-179,7.2236430596574465e-177
CD3E,CD3,0,3446,0.4962680636756294,0.0006409594907932949,28.520354773985193,6.552052804355169e-179,9.465532284691767e-177
CD3G,CD16,0,3446,-0.4769558822285186,2.5059773844472427e-05,-28.313914005628686,2.329666193196151e-176,3.155241650410037e-174
CD3G,CD3,0,3446,0.49053780323168183,0.000733223728108995,28.229534353684944,2.538758853556077e-175,3.23617084450354e-173
CD14,CD16,0,3446,0.47933166631014623,-0.0006438845404516769,27.739426431248067,2.3374249328625377e-169,2.8139999052850662e-167
CD3D,CD16,0,3446,-0.46460899276681417,8.034116148424824e-05,-27.467483912385873,4.295954907816069e-166,4.89964962380917e-164
